tailor_name,tailor_lname,tailor_father_name,tailor_mother_name,tailor_age,tailor_grade,tailor_section,tailor_official_email,tailor_official_mobile,tailor_personal_mobile,tailor_blood_group,tailor_dob,tailor_address,tailor_city,tailor_state,tailor_country,tailor_continent,tailor_experience,tailor_rating,tailor_reviews,tailor_income,tailor_investment,tailor_shop,tailor_services,tailor_male_female,tailor_gst,tailor_course,tailor_branches,tailor_material,tailor_readymade,tailor_contract,tailor_fee,tailor_mentor,tailor_delivery,tailor_overseas,tailor_domestic,tailor_expenses,tailor_vehicle,tailor_shop_time,tailor_shop_days,tailor_awards,tailor_designing_skills
Kachori,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Yashika,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Yashika,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Yashika,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Yashika,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Yashika,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Vatsala,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Vatsala,Parwani,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Rani,Sharma,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Rani,Sharma,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Rani,Sharma,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Rani,Sharma,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
Rani,Sharma,Raj Kumar,Sonam,12,5th,CDEF,official@gmail.com,8817645627,7999496840,O+ve,04-12-2023,Juna Baghana,Baghana,MP,INDIA,ASIA,15 years,Top Rating,More Reviews,50 lakh,5 Crore,showroom,Fashion Designing,male,GSTINDIAMP001RSS,MFD,PAN INDIA,Cotton,Available,On Time,6 lakh,Gauri Khan,available ,available,available,50 thousands,Available,10 to 10,Monday to Saturday,"att1,att2",Fashion Designing
